department,arrival_time,number_of_patients,doctor_availability,day_of_week,emergency_status,previous_waiting_time,waiting_time_minutes
Cardiology,08:00,26,3,Saturday,Normal,47,107.3
Orthopedics,12:00,31,8,Sunday,Normal,38.8,67.9
Cardiology,13:00,23,2,Wednesday,Normal,27.6,74.2
General,06:00,28,11,Thursday,Normal,27.1,39.6
Orthopedics,11:45,41,1,Sunday,Emergency,21.1,115.1
Cardiology,11:45,21,5,Friday,Emergency,30.9,49.1
Pediatrics,14:00,27,4,Friday,Normal,44.6,76.7
Orthopedics,13:15,20,5,Thursday,Normal,21.8,31.7
General,04:45,19,1,Friday,Normal,30.2,65.5
Surgery,09:45,27,8,Monday,Normal,36.6,62.4
Orthopedics,18:30,32,4,Tuesday,Normal,45.6,68.1
Cardiology,07:15,19,6,Thursday,Normal,16.9,18.5
Cardiology,14:15,20,6,Wednesday,Normal,23.3,62
Orthopedics,13:45,38,3,Saturday,Emergency,57.4,86.3
Cardiology,07:30,23,3,Thursday,Normal,21.6,38.4
Pediatrics,10:15,31,7,Saturday,Emergency,26.8,61.8
General,07:30,15,4,Tuesday,Emergency,44,15.1
General,10:00,14,8,Wednesday,Normal,50.6,47.8
General,12:15,21,5,Tuesday,Normal,51.7,65
Orthopedics,09:45,26,3,Saturday,Normal,33.9,99.4
Surgery,15:30,16,7,Thursday,Emergency,25.8,34.5
Pediatrics,16:15,17,6,Thursday,Emergency,29.4,17.2
General,18:45,26,7,Tuesday,Emergency,41.4,40.9
General,08:30,25,3,Sunday,Normal,50.2,111.2
Pediatrics,06:00,27,6,Monday,Normal,50.6,58.4
Pediatrics,19:15,14,11,Tuesday,Normal,44.9,3.2
Pediatrics,13:45,14,7,Friday,Emergency,28.2,2
General,11:30,33,8,Saturday,Emergency,31.6,74.2
Pediatrics,15:45,30,10,Thursday,Normal,46.9,66.4
Cardiology,06:30,29,9,Sunday,Normal,39.5,67.5
Cardiology,12:00,17,4,Thursday,Emergency,26.9,29.4
Cardiology,12:00,22,6,Friday,Normal,26.8,49.9
Surgery,15:15,15,4,Thursday,Normal,10.9,53
Surgery,06:00,18,8,Thursday,Normal,22.7,33.2
Pediatrics,11:00,24,8,Sunday,Normal,47.9,52.3
Pediatrics,10:45,12,1,Friday,Emergency,44.6,34
General,11:00,24,4,Saturday,Normal,42.2,106
Pediatrics,09:45,26,6,Monday,Normal,40.4,40.6
Orthopedics,09:45,17,7,Thursday,Emergency,58.6,33.6
Surgery,13:00,18,7,Friday,Normal,24.1,46.4
Pediatrics,12:00,25,4,Monday,Normal,39.2,48
General,07:15,22,7,Thursday,Normal,32.1,44.8
Pediatrics,11:00,27,4,Saturday,Normal,28.4,112.2
Cardiology,10:45,17,11,Monday,Normal,30,30
Orthopedics,18:30,22,4,Thursday,Normal,25.3,43.2
Orthopedics,12:00,35,2,Sunday,Normal,10.2,103.2
Orthopedics,10:00,30,6,Sunday,Normal,24.3,96.8
Cardiology,13:45,20,5,Thursday,Normal,47.6,51.3
Pediatrics,11:15,15,3,Friday,Normal,43.1,57.2
Surgery,12:45,31,6,Tuesday,Normal,35,88.7
General,07:15,37,3,Saturday,Normal,41.1,114.9
Orthopedics,09:30,24,6,Tuesday,Emergency,38.5,61.6
Pediatrics,18:45,15,2,Friday,Normal,34.8,48.7
General,16:15,21,4,Tuesday,Normal,20.7,72.7
Orthopedics,18:30,26,6,Monday,Normal,38.8,60.6
Cardiology,14:45,21,6,Tuesday,Normal,50.8,60
Cardiology,14:00,27,5,Wednesday,Normal,34.5,75.7
Cardiology,15:45,18,3,Tuesday,Normal,36.7,78.5
Orthopedics,17:00,19,9,Monday,Normal,64.2,43.2
Orthopedics,05:30,23,7,Monday,Normal,63.2,51
Pediatrics,09:30,28,2,Thursday,Normal,32.7,84.3
General,14:45,29,4,Sunday,Normal,32.7,105.2
General,09:15,12,6,Friday,Emergency,23.6,12
Pediatrics,13:15,29,7,Saturday,Normal,12.9,62.4
Orthopedics,18:30,28,4,Sunday,Normal,11.1,77.8
Orthopedics,14:45,23,9,Friday,Normal,43.7,52.6
Orthopedics,09:30,26,5,Friday,Normal,23.5,74.5
Surgery,08:00,16,3,Thursday,Normal,13.9,61.7
Orthopedics,15:15,28,6,Sunday,Normal,43.2,81.5
Orthopedics,07:45,22,4,Tuesday,Normal,47.4,58.1
General,05:00,24,3,Friday,Normal,46.6,81.5
General,07:00,19,5,Sunday,Normal,53.9,69.6
Surgery,14:15,20,2,Monday,Normal,60.4,106.2
Orthopedics,11:30,24,4,Thursday,Emergency,28.9,57.2
Pediatrics,11:00,13,2,Tuesday,Normal,35,58.2
